Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off,,,,,
Catch.com.au,Melbourne,Retail,100,,02-06-2023 00:00,https://www.channelnews.com.au/wesfarmers-axes-100-catch-employees/,80,Acquired,2/14/2023 15:11,Australia,Unknown,,,,,
Finder,Sydney,Retail,,0.15,02-03-2023 00:00,https://www.news.com.au/finance/work/at-work/finder-staff-shocked-by-abrupt-job-cuts-as-15-of-the-business-is-restructured/news-story/6907cf73ddddceb30018521871c89d3c,30,Unknown,02-06-2023 04:12,Australia,Unknown,,,,,
Booktopia,Sydney,Retail,30,,1/23/2023 0:00,https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-02623152-2A1426574?access_token=83ff96335c2d45a094df02a206a39ff4,23,Series A,1/23/2023 16:46,Australia,Unknown,,,,,0
Spaceship,Sydney,Finance,,,1/19/2023 0:00,https://www.financialstandard.com.au/news/spaceship-reduces-headcount-reorganises-executive-team-179798117,41,Series A,1/24/2023 6:11,Australia,Unknown,,,,,
Redbubble,Melbourne,Retail,,0.14,1/18/2023 0:00,https://www.afr.com/companies/retail/redbubble-makes-14pc-of-staff-redundant-20230118-p5cdeh,55,Post-IPO,1/18/2023 2:15,Australia,Unknown,,,,,
Ignition,Sydney,Finance,,0.1,1/16/2023 0:00,https://www.linkedin.com/posts/activity-7020865045949534208-BYRD/,74,Series C,1/17/2023 4:23,Australia,Unknown,,,,,
Till Payments,Sydney,Finance,120,,01-10-2023 00:00,https://www.afr.com/technology/till-payments-makes-120-staff-redundant-shakes-up-board-20230110-p5cbj3,95,Series C,01-11-2023 00:56,Australia,Unknown,,,,,
Megaport,Brisbane,Infrastructure,,,01-05-2023 00:00,https://www.afr.com/technology/megaport-lays-off-35-staff-losses-narrow-20220809-p5b8bz,98,Post-IPO,01-06-2023 01:38,Australia,Unknown,,,,,
Willow,Sydney,Real Estate,99,0.22,12/23/2022 0:00,https://www.afr.com/technology/nicholas-moore-chaired-proptech-willow-fires-99-workers-to-curb-costs-20221222-p5c8am,,Unknown,01-09-2023 05:01,Australia,Unknown,,,,,
YourGrocer,Melbourne,Food,,1,12/19/2022 0:00,https://www.startupdaily.net/topic/business/melbourne-delivery-service-yourgrocer-is-the-latest-startup-to-go-under/,2,Unknown,12/27/2022 16:35,Australia,Unknown,,,,,
Digital Surge,Brisbane,Crypto,,1,12-09-2022 00:00,https://www.9news.com.au/technology/australian-cryptocurrency-exchange-digital-surge-collapses-into-administration/ebbeb40c-6310-4250-b123-600bc6755cc5,,Unknown,12-11-2022 06:09,Australia,Unknown,,,,,
Swyftx,Brisbane,Crypto,90,0.4,12-05-2022 00:00,https://www.smh.com.au/business/companies/worst-case-scenario-local-crypto-exchange-swyftx-lays-off-40-percent-of-staff-20221205-p5c3mu.html,,Unknown,12-05-2022 13:26,Australia,Unknown,,,,,
CoinJar,Melbourne,Crypto,10,0.2,11/29/2022 0:00,https://www.theaustralian.com.au/business/technology/melbourne-crypto-startup-coinjar-axes-20pc-of-workforce/news-story/485648b4b36a538ff7c00287adb57d5a,1,Unknown,11/30/2022 6:20,Australia,Unknown,,,,,
Menulog,Sydney,Food,,,11/24/2022 0:00,https://www.smh.com.au/technology/difficult-decision-menulog-cuts-jobs-in-australia-20221124-p5c111.html,,Acquired,11/28/2022 17:56,Australia,Unknown,,,,,
Deliveroo Australia,Melbourne,Food,120,1,11/15/2022 0:00,https://www.abc.net.au/news/2022-11-16/deliveroo-enters-voluntary-administration/101661932,1700,Post-IPO,11/17/2022 17:09,Australia,Unknown,,,,,
Whispir,Melbourne,Other,,0.3,11/15/2022 0:00,https://www.afr.com/technology/whispir-cuts-30pc-of-staff-shares-surge-40pc-20221115-p5byfw,68,Post-IPO,11/17/2022 0:38,Australia,Unknown,,,,,
Voly,Sydney,Food,,,11-10-2022 00:00,https://www.news.com.au/finance/business/retail/australian-grocery-delivery-startup-cuts-more-staff-after-18m-fundraise/news-story/694e7bdd0241e76b43a36a75e58a2287,13,Seed,11/17/2022 0:08,Australia,Unknown,,,,,
Zoomo,Sydney,Transportation,,0.16,10-04-2022 00:00,https://www.ridezoomo.com/blog/building-a-more-resilient-business-for-2023,105,Series B,10-05-2022 03:02,Australia,Unknown,,,,,
Brighte,Sydney,Energy,58,,09-09-2022 00:00,https://brighte.com.au/media/accelerating-brightes-pathway-to-profitability,145,Series C,10-07-2022 02:07,Australia,Unknown,,,,,
Kogan,Melbourne,Retail,,,8/23/2022 0:00,https://www.smartcompany.com.au/industries/retail/kogan-financial-report-losses-e-commerce-online-shopping/,,Post-IPO,8/25/2022 3:51,Australia,Unknown,,,,,
Swyftx,Brisbane,Crypto,74,0.21,8/17/2022 0:00,https://swyftx.com/au/media/press-releases/changes-to-the-team-2022/,,Unknown,8/18/2022 1:12,Australia,Unknown,,,,,
Expert360,Sydney,Recruiting,7,,08-11-2022 00:00,https://www.watoday.com.au/technology/startups-staff-to-go-kombucha-and-yoga-can-stay-20220811-p5b8zs.html,26,Series C,8/15/2022 1:17,Australia,Unknown,,,,,
Linktree,Melbourne,Consumer,50,0.17,08-09-2022 00:00,https://www.smartcompany.com.au/industries/information-technology/linktree-sacks-employees-tech/,165,Unknown,08-09-2022 14:33,Australia,Unknown,,,,,
Metigy,Sydney,Marketing,75,1,7/31/2022 0:00,https://www.linkedin.com/posts/myrabeal_talent-tech-recruitment-activity-6959703840858259456-V8Tv/,18,Series B,08-02-2022 01:09,Australia,Unknown,,,,,
Yabonza,Sydney,Real Estate,,1,7/29/2022 0:00,https://www.smartcompany.com.au/industries/property/yabonza-liquidiation-tech-sector/,6,Unknown,8/24/2022 23:35,Australia,Unknown,,,,,
InDebted,Sydney,Finance,40,0.17,7/26/2022 0:00,https://www.news.com.au/finance/business/technology/startup-sacks-40-employees-amid-200-million-valuation/news-story/891f316c53bb38c7f12d519b26f07ee5,41,Series B,7/26/2022 15:27,Australia,Unknown,,,,,
Immutable,Sydney,Crypto,20,0.06,7/26/2022 0:00,https://www.cnet.com/tech/gaming/crypto-star-immutable-creator-of-nft-game-gods-unchained-lays-off-over-20-staff/,279,Series C,7/28/2022 3:35,Australia,Unknown,,,,,
Sendle,Sydney,Logistics,27,0.12,07-04-2022 00:00,https://www.afr.com/technology/australia-post-disruptor-sendle-airtasker-lead-in-tech-jobs-losses-20220701-p5aydb,69,Series C,07-04-2022 15:29,Australia,Unknown,,,,,
Airtasker,Sydney,Consumer,,,07-04-2022 00:00,https://www.afr.com/technology/australia-post-disruptor-sendle-airtasker-lead-in-tech-jobs-losses-20220701-p5aydb,26,Series C,07-04-2022 15:32,Australia,Unknown,,,,,
Perx Health,Sydney,Healthcare,,,07-02-2022 00:00,https://www.smh.com.au/business/entrepreneurship/everybody-thought-they-were-the-exception-start-ups-optimism-hits-hard-reality-20220630-p5axzk.html,2,Seed,07-04-2022 15:24,Australia,Unknown,,,,,
Zepto,Brisbane,Finance,,0.1,07-02-2022 00:00,https://www.smh.com.au/business/entrepreneurship/everybody-thought-they-were-the-exception-start-ups-optimism-hits-hard-reality-20220630-p5axzk.html,25,Series A,07-04-2022 15:22,Australia,Unknown,,,,,
Volt Bank,Sydney,Finance,,1,6/29/2022 0:00,https://www.smh.com.au/business/banking-and-finance/neobank-volt-to-shut-down-return-deposits-to-customers-after-funding-struggles-20220629-p5axl1.html,90,Series E,6/30/2022 3:07,Australia,Unknown,,,,,
HealthMatch,Sydney,Healthcare,18,0.5,6/28/2022 0:00,https://www.smh.com.au/business/entrepreneurship/i-m-heartbroken-wave-of-layoffs-begins-as-start-ups-fight-for-survival-20220628-p5ax6a.html,20,Series B,6/29/2022 3:55,Australia,Unknown,,,,,
Booktopia,Sydney,Retail,,,6/28/2022 0:00,https://www.smh.com.au/business/entrepreneurship/i-m-heartbroken-wave-of-layoffs-begins-as-start-ups-fight-for-survival-20220628-p5ax6a.html,23,Series A,6/29/2022 3:59,Australia,Unknown,,,,,
Banxa,Melbourne,Crypto,70,0.3,6/27/2022 0:00,https://decrypt.co/103891/australian-crypto-firm-banxa-cut-staff-30-citing-another-crypto-winter,13,Post-IPO,6/28/2022 4:16,Australia,Unknown,,,,,
Voly,Sydney,Food,,0.5,6/22/2022 0:00,https://www.smh.com.au/business/entrepreneurship/grocery-delivery-startup-voly-slashes-operations-as-tech-sector-slumps-20220620-p5av60.html,13,Seed,6/23/2022 4:15,Australia,Unknown,,,,,
Brighte,Sydney,Energy,30,0.15,6/20/2022 0:00,https://www.startupdaily.net/topic/fintech/renewables-fintech-brighte-powers-down-shedding-15-of-its-team/,145,Series C,6/21/2022 3:34,Australia,Unknown,,,,,
5B Solar,Sydney,Energy,,0.25,06-03-2022 00:00,https://www.news.com.au/finance/business/manufacturing/aussie-startup-5b-solar-sacks-25-per-cent-of-staff/news-story/55133297ccce5f1b7d1edf38f117a631,12,Series A,06-03-2022 17:58,Australia,Unknown,,,,,
Envato,Melbourne,Marketing,100,,06-02-2022 00:00,https://www.smartcompany.com.au/technology/envato-redundancy-business-restructuring/,,Unknown,06-02-2022 20:30,Australia,Unknown,,,,,
SEND,Sydney,Food,300,1,05-04-2022 00:00,https://www.smartcompany.com.au/finance/delivery-startup-send-collapses/,3,Seed,05-09-2022 02:01,Australia,Unknown,,,,,
Bizpay,Sydney,Finance,,0.3,05-04-2022 00:00,https://www.news.com.au/finance/business/banking/sydney-buy-now-pay-later-provider-bizpay-cuts-30-per-cent-of-workforce/news-story/ec35b092a89e653666e8c46bf537c6ab,45,Unknown,05-12-2022 01:14,Australia,Unknown,,,,,
Superloop,Brisbane,Infrastructure,30,,8/24/2020 0:00,https://www.arnnet.com.au/article/682373/superloop-reduces-losses-30-workers-laid-off-amid-covid-19/,36,Post-IPO,6/26/2022 23:50,Australia,Unknown,,,,,
Culture Amp,Melbourne,HR,36,0.08,5/28/2020 0:00,https://www.smh.com.au/business/small-business/tech-unicorn-culture-amp-lays-off-staff-as-growth-halves-20200528-p54x9d.html,157,Series E,5/28/2020 22:38,Australia,Unknown,,,,,
Deputy,Sydney,HR,60,0.3,05-04-2020 00:00,https://www.afr.com/young-rich/young-rich-lister-shifts-gears-to-survive-20200403-p54gty,106,Series B,5/18/2020 14:26,Australia,Unknown,,,,,
Nearmap,Sydney,Construction,,0.1,4/22/2020 0:00,https://www.fnarena.com/index.php/2020/04/22/nearmap-prepares-for-weak-conditions/,15,Post-IPO,05-10-2020 05:45,Australia,Unknown,,,,,
GoStudent,Vienna,Education,100,,12/14/2022 0:00,https://www.businessinsider.com/gostudent-3-billion-edtech-startup-begins-fresh-round-of-layoffs-2022-12,686,Series D,12/15/2022 2:11,Austria,Unknown,,,,,
GoStudent,Vienna,Education,200,,09-08-2022 00:00,https://brutkasten.com/gostudent-unicorn-baut-200-stellen-ab/,686,Series D,09-09-2022 23:46,Austria,Unknown,,,,,
Bitpanda,Vienna,Crypto,270,0.27,6/24/2022 0:00,https://brutkasten.com/bitpanda-kuendigungen/,546,Series C,6/24/2022 16:27,Austria,Unknown,,,,,
Rain,Manama,Finance,,,06-02-2022 00:00,https://www.bloomberg.com/news/articles/2022-06-02/coinbase-backed-rain-cuts-jobs-amid-cryptocurrency-selloff?srnd=technology-vp#xj4y7vzkg,202,Series B,06-04-2022 22:00,Bahrain,Unknown,,,,,
Collibra,Brussels,Data,,,10/19/2022 0:00,Internal memo,596,Series G,11-03-2022 14:52,Belgium,Unknown,,,,,
Neon,Sao Paulo,Finance,210,0.09,2/15/2023 0:00,https://www.seudinheiro.com/2023/empresas/unicornio-neon-banco-digital-demissao-em-massa-lils/,720,Series D,2/15/2023 21:58,Brazil,https://docs.google.com/spreadsheets/d/1HPjbndRJEq8OppLnQ17gjLKWGTLDCihH88KJ3ERr_10/htmlview#gid=0,,,,,
PetLove,Sao Paulo,Retail,94,,2/13/2023 0:00,https://oglobo.globo.com/blogs/capital/post/2023/02/petlove-demite-quase-cem-funcionarios.ghtml,225,Series C,2/15/2023 21:57,Brazil,Unknown,,,,,
Open Co,Sao Paulo,Finance,,,02-10-2023 00:00,https://docs.google.com/spreadsheets/d/1DBlNWL0LlbZf7vDoxy-c1IpBfK9-poS25x3JB7c8ip0/edit#gid=0,140,Series D,2/15/2023 22:57,Brazil,https://docs.google.com/spreadsheets/d/1DBlNWL0LlbZf7vDoxy-c1IpBfK9-poS25x3JB7c8ip0/edit#gid=0,,,,,
Loggi,Sao Paulo,Logistics,300,0.07,02-06-2023 00:00,https://www.infomoney.com.br/negocios/pela-segunda-vez-loggi-reduz-equipe-com-demissoes-em-massa/,507,Series F,02-07-2023 03:45,Brazil,Unknown,,,,,
C6 Bank,Sao Paulo,Finance,,,02-06-2023 00:00,https://www1.folha.uol.com.br/mercado/2023/02/c6-bank-demite-funcionarios-e-prepara-reestruturacao.shtml,2300,Unknown,02-08-2023 21:47,Brazil,Unknown,,,,,
Olist,Curitiba,Retail,,,1/30/2023 0:00,https://www.estadao.com.br/link/inovacao/unicornio-olist-faz-2-rodada-de-demissoes-em-massa-e-aponta-mercado-arido-em-2023/,322,Series E,1/31/2023 1:34,Brazil,Unknown,,,,,
Me Poupe,Sao Paulo,Finance,60,0.5,1/28/2023 0:00,https://portaldobitcoin.uol.com.br/os-bastidores-da-demissao-em-massa-da-me-poupe-de-nathalia-arcuri-quer-sair-das-redes-sociais/,,Unknown,1/29/2023 20:06,Brazil,Unknown,,,,,
PagSeguro,Sao Paulo,Finance,,0.07,1/25/2023 0:00,https://news.fintechnexus.com/pagseguro-and-will-bank-part-of-layoff-wave-in-latam/,,Post-IPO,02-07-2023 15:29,Brazil,Unknown,,,,,
Enjoei,Sao Paulo,Retail,31,0.1,1/20/2023 0:00,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/depois-do-ipo-e-da-queda-enjoei-faz-a-sua-demissao-em-massa,e1d6c15174934d1010733071113dff43zabh1zv5.html",14,Unknown,1/23/2023 23:16,Brazil,Unknown,,,,,
Unico,Sao Paulo,Other,110,0.1,1/17/2023 0:00,https://startups.com.br/noticias/unicornio-unico-demite-cerca-de-110-pessoas-105-da-forca/,336,Series D,1/18/2023 2:12,Brazil,Unknown,,,,,
XP,Sao Paulo,Finance,,,1/17/2023 0:00,https://braziljournal.com/xp-cortes-podem-chegar-a-10-da-empresa/,,Post-IPO,1/27/2023 14:20,Brazil,Unknown,,,,,
PagBank,Sao Paulo,Finance,500,0.07,1/16/2023 0:00,"https://www.terra.com.br/amp/economia/dinheiro-em-dia/meu-negocio/pagbank-faz-sua-onda-de-layoffs-e-demite-7-do-quadro,718b40b34ae12981e16f3f1a17a25359dzxawknq.html",,Post-IPO,1/17/2023 4:25,Brazil,https://docs.google.com/spreadsheets/u/1/d/16EYANYICC6CF6gbBG5NOe50GDv69_sU6J6DB4sxeAGU/htmlview?usp=sharing,,,,,
Pier,Sao Paulo,Finance,111,0.39,01-12-2023 00:00,https://startups.com.br/noticias/insurtech-pier-demite-cerca-de-39-da-forca-de-trabalho/,42,Series B,01-12-2023 17:14,Brazil,Unknown,,,,,
Alice,Sao Paulo,Healthcare,113,0.16,12-09-2022 00:00,https://startups.com.br/demissoes/alice-faz-nova-onda-de-demissoes-e-dispensa-113-pessoas/,174,Series C,12-11-2022 03:31,Brazil,Unknown,,,,,
Buser,Sao Paulo,Transportation,160,0.3,12-08-2022 00:00,https://startups.com.br/demissoes/buser-demite-30-para-se-adaptar-a-nova-realidade-do-mercado/,138,Series C,12-11-2022 06:00,Brazil,https://docs.google.com/spreadsheets/d/1KkOxvPis13EC3MSsFtsGgNIBFv-FFEZ1-p2MTL2IDgY/htmlview,,,,,
Loft,Sao Paulo,Real Estate,312,0.12,12-07-2022 00:00,https://www.bloomberglinea.com/english/brazilian-unicorn-loft-sheds-12-of-staff-in-third-wave-of-layoffs-this-year/,788,Unknown,12-08-2022 06:26,Brazil,Unknown,,,,,
Wildlife Studios,Sao Paulo,Consumer,300,0.2,11/28/2022 0:00,https://mobilegamer.biz/massive-layoffs-at-wildlife-as-it-drops-all-non-mobile-game-projects/,260,Unknown,11/29/2022 15:59,Brazil,https://docs.google.com/spreadsheets/d/1zyAOWdW3SFJ9bUdJWRxYGdDLEw_I6gCMlOjlrFLjqrw/edit#gid=759761140,,,,,
Kavak,Sao Paulo,Transportation,,,11/18/2022 0:00,https://businessinsider.mx/kavak-despidos-compra-autos-crisis_negocios/,1600,Series E,11/20/2022 0:03,Brazil,Unknown,,,,,
Dock,Sao Paulo,Finance,190,0.12,11-07-2022 00:00,https://www.infomoney.com.br/negocios/exclusivo-startup-dock-nao-passa-ilesa-e-faz-demissao-em-massa/,280,Private Equity,11-08-2022 21:59,Brazil,Unknown,,,,,
Tapps Games,Sao Paulo,Consumer,10,,11-01-2022 00:00,https://dropsdejogos.uai.com.br/noticias/indie/tapps-games-demissoes/,,Unknown,1/21/2023 0:44,Brazil,Unknown,,,,,
Unico,Sao Paulo,Other,50,0.04,10/24/2022 0:00,https://startups.com.br/noticias/unico-demite-na-area-de-vendas-e-reforca-equipe-de-tecnologia/,336,Series D,1/18/2023 2:13,Brazil,Unknown,,,,,
Hotmart,Belo Horizonte,Marketing,227,0.12,10/20/2022 0:00,https://www.bloomberglinea.com/english/brazils-tcv-backed-hotmart-cuts-12-of-staff-amid-drop-in-operational-efficiency/,127,Series C,10/22/2022 3:31,Brazil,Unknown,,,,,
99,Sao Paulo,Transportation,75,0.02,9/20/2022 0:00,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",244,Acquired,9/21/2022 16:29,Brazil,Unknown,,,,,
Quicko,Sao Paulo,Transportation,60,,09-12-2022 00:00,https://startups.com.br/noticias/apos-fechar-portas-no-brasil-maas-global-pivota-e-mira-parceiros-locais-diz-ceo/,28,Acquired,9/13/2022 23:35,Brazil,Unknown,,,,,
2TM,Sao Paulo,Crypto,100,0.15,09-01-2022 00:00,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,250,Unknown,09-02-2022 23:24,Brazil,Unknown,,,,,
Loja Integrada,Sao Paulo,Retail,25,0.1,8/25/2022 0:00,https://startups.com.br/noticias/loja-integrada-da-vtex-demite-10-do-quadro-mas-segue-contratando/,,Acquired,8/26/2022 20:53,Brazil,Unknown,,,,,
Fluke,Sao Paulo,Other,83,0.82,8/17/2022 0:00,https://startups.com.br/noticias/exclusivo-fluke-demite-mais-de-80-e-e-comprada/,,Seed,8/26/2022 20:47,Brazil,Unknown,,,,,
Warren,Porto Alegre,Finance,50,,8/17/2022 0:00,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/exclusivo-warren-entra-na-tendencia-dos-layoffs-e-faz-demissao-em-massa,5f362a0a19e6049dce7d13b912b0da76rfn0l7ku.html",104,Series C,8/18/2022 1:14,Brazil,Unknown,,,,,
Trybe,Sao Paulo,Education,47,0.1,08-10-2022 00:00,https://startups.com.br/noticias/edtech-trybe-enxuga-operacoes-e-corta-10-do-time/,40,Series B,8/24/2022 23:33,Brazil,Unknown,,,,,
MadeiraMadeira,Curitiba,Retail,60,0.03,08-09-2022 00:00,https://www.estadao.com.br/link/inovacao/unicornio-madeiramadeira-demite-60-pessoas-em-busca-de-ganho-de-eficiencia/,338,Series E,08-09-2022 21:54,Brazil,Unknown,,,,,
Loggi,Sao Paulo,Logistics,500,0.15,08-08-2022 00:00,https://startups.com.br/noticias/na-onda-dos-layoffs-loggi-demite-cerca-de-15-da-sua-forca-de-trabalho/,507,Series F,08-09-2022 14:40,Brazil,Unknown,,,,,
Nomad,Sao Paulo,Finance,,0.2,08-04-2022 00:00,https://finsiders.com.br/2022/08/04/nomad-corta-20-da-equipe-quase-tres-meses-apos-aporte/,290,Series B,08-10-2022 15:19,Brazil,Unknown,,,,,
Hash,Sao Paulo,Finance,58,0.5,08-01-2022 00:00,https://oglobo.globo.com/blogs/capital/post/2022/08/startup-de-maquininha-demite-mais-de-metade-da-equipe-e-avalia-fechar-as-portas.ghtml,58,Series C,08-03-2022 02:35,Brazil,Unknown,,,,,
Quanto,Sao Paulo,Finance,28,0.22,7/22/2022 0:00,https://www.seudinheiro.com/2022/empresas/onda-de-demissoes-quanto-startup-facily-involves-lils/,15,Series A,7/25/2022 15:30,Brazil,Unknown,,,,,
Involves,Florianópolis,Retail,70,0.18,7/13/2022 0:00,https://www.baguete.com.br/noticias/13/07/2022/involves-demite-18,23,Unknown,7/20/2022 3:40,Brazil,Unknown,,,,,
Alice,Sao Paulo,Healthcare,63,,07-11-2022 00:00,https://forbes.com.br/carreira/2022/07/healthtech-alice-demite-63-funcionarios/,174,Series C,7/13/2022 4:56,Brazil,Unknown,,,,,
Loft,Sao Paulo,Real Estate,384,0.12,07-05-2022 00:00,https://startups.com.br/noticias/loft-faz-segunda-rodada-de-demissoes-e-corta-mais-380/,788,Unknown,07-05-2022 17:11,Brazil,Unknown,,,,,
Ebanx,Curitiba,Finance,340,0.2,6/21/2022 0:00,https://www.reuters.com/technology/brazils-ebanx-lays-off-20-employees-cuts-sweep-tech-sector-2022-06-21/,460,Series B,6/22/2022 3:39,Brazil,Unknown,,,,,
Sami,Sao Paulo,Healthcare,75,0.15,6/14/2022 0:00,https://braziljournal.com/sami-demite-15-para-conter-queima-de-caixa/,36,Unknown,6/14/2022 21:58,Brazil,Unknown,,,,,
Sanar,Sao Paulo,Healthcare,60,0.2,06-10-2022 00:00,"https://www.terra.com.br/noticias/tecnologia/inovacao/startup-de-medicina-sanar-demite-60-e-pega-funcionarios-de-surpresa,313ce3bfb0f7ebdf601130784b3e8f5fjpp13hkv.html",11,Unknown,06-11-2022 15:52,Brazil,Unknown,,,,,
Kavak,Sao Paulo,Transportation,150,,06-08-2022 00:00,"https://www.terra.com.br/amp/noticias/tecnologia/inovacao/startup-kavak-demite-150-no-rio-e-em-sao-paulo,5cd47d831e523a86ead7e9b2cb92b9dcg9xp78y3.html",1600,Series E,06-09-2022 19:00,Brazil,Unknown,,,,,
Afterverse,Brasilia,Consumer,60,0.2,06-03-2022 00:00,https://neofeed.com.br/blog/home/o-jogo-virou-afterverse-empresa-de-games-da-movile-corta-ate-60-funcionarios/,,Unknown,1/21/2023 0:45,Brazil,Unknown,,,,,
Favo,Sao Paulo,Food,170,,06-02-2022 00:00,https://exame.com/negocios/de-malas-prontas-startup-favo-deixa-o-brasil-e-demite-170-funcionarios/,31,Series A,06-02-2022 23:44,Brazil,Unknown,,,,,
2TM,Sao Paulo,Crypto,90,0.12,06-01-2022 00:00,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",250,Unknown,06-02-2022 03:21,Brazil,Unknown,,,,,
SumUp,Sao Paulo,Finance,100,0.03,5/30/2022 0:00,https://financefwd.com/de/sumup-entlassungen-brasilien/,50,Unknown,5/31/2022 15:20,Brazil,Unknown,,,,,
VTEX,Sao Paulo,Retail,200,0.13,5/26/2022 0:00,https://www.bloomberglinea.com.br/2022/05/26/inverno-chegou-unicornios-vtex-e-bitso-fazem-demissao-em-massa/,365,Post-IPO,5/27/2022 3:23,Brazil,Unknown,,,,,
Olist,Curitiba,Retail,,,5/23/2022 0:00,"https://www.terra.com.br/noticias/tecnologia/inovacao/unicornio-olist-faz-demissoes-mas-rechaca-crise-na-companhia,255c294ee9e32047e1720aa6397f08e8pvf4joya.html",322,Series E,5/25/2022 3:31,Brazil,Unknown,,,,,
Facily,Sao Paulo,Retail,260,0.3,4/20/2022 0:00,https://startups.com.br/noticias/brazilian-e-commerce-firm-facily-slashes-workforce-by-30/,502,Series D,4/27/2022 23:14,Brazil,Unknown,,,,,
QuintoAndar,Sao Paulo,Real Estate,160,0.04,4/19/2022 0:00,https://aimgroup.com/2022/04/19/quintoandar-lays-off-4-its-workforce/,755,Series E,4/24/2022 3:25,Brazil,Unknown,,,,,
Loft,Sao Paulo,Real Estate,159,,4/19/2022 0:00,https://thegoaspotlight.com/2022/04/19/loft-lays-off-159-employees-to-reorganize-credit-area/,788,Unknown,4/24/2022 3:27,Brazil,Unknown,,,,,
Liv Up,Sao Paulo,Food,100,0.15,2/16/2022 0:00,https://startups.com.br/noticias/liv-up-faz-reestruturacao-e-corta-15-do-quadro/,118,Series D,4/27/2022 23:17,Brazil,Unknown,,,,,
Ebanx,Curitiba,Finance,62,0.08,5/27/2020 0:00,https://exame.com/pme/comeca-uma-era-mais-pe-no-chao-para-as-startups-diz-fundador-do-ebanx/,30,Unknown,06-01-2020 03:39,Brazil,Unknown,,,,,
